Region,Subregion,Country_Name,ISO3,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,GBs_per_2%_GNICM
Africa,Eastern Africa,South Sudan,SSD,1.071905974930,NA,2.900451461575,NA,5.359529874650,NA,10.719059749300,NA,20.807586572171,NA,40.984640217912,NA,NA
Asia,Southern Asia,Sri Lanka,LKA,0.511842899881,0.001512836157,0.511842899881,0.001512836157,0.784825779818,0.002319682108,1.131741523071,0.003345048837,2.553527356074,0.007547371496,5.107054712149,0.015094742992,8.621871045362
Africa,Northern Africa,Sudan,SDN,0.978240672691,0.007524928251,0.978240672691,0.007524928251,0.978240672691,0.007524928251,1.417590869548,0.010904545150,3.363774944691,0.025875191882,4.805392778130,0.036964559832,2.657832650577
Americas,Southern America,Suriname,SUR,11.933493800754,0.028697780683,11.933493800754,0.028697780683,11.933493800754,0.028697780683,11.933493800754,0.028697780683,20.112630001271,0.048367046095,22.794314001440,0.054815985575,0.696918002852
Asia,Central Asia,Tajikistan,TJK,1.590254166609,0.018894108910,3.710593055420,0.044086254124,3.710593055420,0.044086254124,7.421186110840,0.088172508248,14.842372221680,0.176345016495,25.444066665738,0.302305742563,0.453656142884
Africa,Eastern Africa,Tanzania,TZA,2.170700833778,0.025537656868,2.170700833778,0.025537656868,4.341401667556,0.051075313736,5.581802144000,0.065668260518,13.024205002668,0.153225941208,15.194905836446,0.178763598076,0.391578602990
Asia,South-Eastern Asia,Thailand,THA,6.300924838412,0.011438895319,6.300924838412,0.011438895319,6.300924838412,0.011438895319,7.567442393872,0.013738170760,12.348546165733,0.022417935550,16.148098832112,0.029315761874,1.748420580977
Asia,South-Eastern Asia,Timor-Leste,TLS,7.500000000000,0.049450549451,7.500000000000,0.049450549451,7.500000000000,0.049450549451,7.500000000000,0.049450549451,12.500000000000,0.082417582418,25.000000000000,0.164835164835,0.404444444444
Africa,Western Africa,Togo,TGO,2.568969999905,0.047427138460,3.596557999867,0.066397993844,7.193115999734,0.132795987687,9.541888571076,0.176157942851,14.557496666129,0.268753784605,29.114993332257,0.537507569211,0.150606959956
Americas,Caribbean,Trinidad and Tobago,TTO,49.345553875482,0.036462231928,49.345553875482,0.036462231928,49.345553875482,0.036462231928,49.345553875482,0.036462231928,49.345553875482,0.036462231928,49.345553875482,0.036462231928,0.548512774524
Africa,Northern Africa,Tunisia,TUN,3.521934500060,0.012075204000,3.521934500060,0.012075204000,3.521934500060,0.012075204000,3.521934500060,0.012075204000,5.031335000086,0.017250291429,8.385558333477,0.028750485715,1.656286717778
Asia,Western Asia,Turkey,TUR,4.255009722456,0.004919086384,4.255009722456,0.004919086384,4.255009722456,0.004919086384,5.106011666948,0.005902903661,8.510019444913,0.009838172769,12.765029167369,0.014757259153,4.065795645236
Africa,Eastern Africa,Uganda,UGA,1.468423611240,0.028421102153,2.269381944643,0.043923521509,4.004791667017,0.077512096781,5.339722222689,0.103349462375,9.077527778572,0.175694086037,13.349305556723,0.258373655937,0.258024241771
Europe,Eastern Europe,Ukraine,UKR,2.828671249761,0.012760922931,2.828671249761,0.012760922931,2.828671249761,0.012760922931,2.828671249761,0.012760922931,3.771561666348,0.017014563908,7.543123332697,0.034029127817,1.567284757360
Asia,Central Asia,Uzbekistan,UZB,1.050672688880,0.006241619934,2.809664044421,0.016691073531,2.939522466642,0.017462509703,4.828372244404,0.028683399472,11.781700488791,0.069990299933,16.161470910976,0.096008738085,1.145310745154
Asia,South-Eastern Asia,Vietnam,VNM,2.147389166586,0.010736945833,2.147389166586,0.010736945833,2.147389166586,0.010736945833,2.147389166586,0.010736945833,3.865300499855,0.019326502499,6.442167499758,0.032210837499,1.862727102400
Africa,Eastern Africa,Zambia,ZMB,3.339845715193,0.028026677330,3.896486667725,0.032697790219,3.896486667725,0.032697790219,7.792973335449,0.065395580437,7.792973335449,0.065395580437,15.585946670899,0.130791160875,0.611662129650
Africa,Eastern Africa,Zimbabwe,ZWE,3.000000000000,0.020111731844,12.857142857143,0.086193136472,15.000000000000,0.100558659218,20.000000000000,0.134078212291,30.000000000000,0.201117318436,40.000000000000,0.268156424581,0.198888888889
