"","country","0_1","1_2","2_5","5_10","10_20","20_50","50_100","100_200","200_500","500_1000","1000_5000"
"82","Poland",0.0329263330584979,0.0546709471308107,0.149191702637593,0.214762528166444,0.252841642412548,5.08538452522391e-06,0.0574403372578001,0.0317193201049207,0.0523304448553462,0.0501982595363367,0.103913399455178
"83","Portugal",0.0312606841576671,0.0707127071245087,0.116313252615823,0.0954306560395801,0.107301883017056,2.60530615443785e-05,0.0770192564157266,0.501935507568094,0,0,0
"84","Puerto Rico ",0,0,0.0842157202677833,0.103908285102108,0.13553196596698,0.000511206536331226,0.177824304981374,0.498008517145423,0,0,0
"85","Qatar",0.0153148360724585,0.00688747655178206,0.0187865722205112,0.0293137721533163,0.063723157040065,0.00389170423047848,0.215023658201977,0.647058823529412,0,0,0
"86","Réunion",0.0265966073108235,0.0704485744867179,0.27686419512828,0.419285783789044,0.20625344620674,0.000551393078395122,0,0,0,0,0
"87","Romania",0.0500662707356721,0.0827751437381788,0.205834397350782,0.11305712146326,0.0399898186945451,5.5869848718742e-06,0.0171665957032968,0.491105065329394,0,0,0
"88","Saint Lucia",0.411431120173315,0.218299987256276,0.261437492035173,0.0586848477125016,0.0421817255001912,0.00796482732254365,0,0,0,0,0
"89","Saint Vincent and the Grenadines",0.226693835965359,0.250806588554933,0.30837154015962,0.120733571064697,0.0899983019188317,0.00339616233655969,0,0,0,0,0
"90","Samoa",0.0263796962049426,0.141755154516452,0.319222894147898,0.284986429217656,0.227441550402362,0.000214275510689967,0,0,0,0,0
"91","Senegal",0.026443163484044,0.0621285863864584,0.27574061309357,0.368286732620654,0.267377597746711,2.33066685622757e-05,0,0,0,0,0
"92","Serbia",0.0505371899898245,0.0943165456313864,0.322793006085083,0.354764963936503,0.177573132189395,1.51621678081346e-05,0,0,0,0,0
"93","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","St. Kitts & Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Sweden",0,0.0215804593751289,0.0512933921131016,0.123396450768696,0.183617468218715,8.52569950319531e-06,0.294895246122155,0.3252084577027,0,0,0
"98","Switzerland ",0.0113937727138788,0.0176523239229108,0.0553156874653283,0.162643477009785,0.632062485906501,0.000175693192649661,0.0969937096303388,0.0237628501586081,0,0,0
"99","Thailand ",0.0318976142099989,0.0954899621600462,0.355255131206023,0.328760395335646,0.139835849339643,9.04279918017872e-06,0.0487520049494624,0,0,0,0
"100","Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Trinidad and Tobago",0.0362213740458015,0.0589312977099237,0.233600508905852,0.148129770992366,0.0629643765903308,0.00173027989821883,0.02735368956743,0.0254834605597964,0.0363486005089058,0.369236641221374,0
"102","Turkey",0.0171110974441877,0.0518579147593987,0.207568999903355,0.267983587977403,0.308450434461733,7.23956457182017e-06,0.0788518612885371,0.0314140169918906,0.011970444301918,0.024784403307005,0
"103","Uganda",0.109849949284444,0.157904567875225,0.247917892926103,0.182182604238387,0.302144985675842,0,0,0,0,0,0
"104","United Kingdom",0,0.003154940401225,0.00581208636814159,0.013897882449746,0.031719595893169,2.95985879859062e-06,0.182430897051133,0.762981637977787,0,0,0
"105","United States of America",0,0,0.00148130735824348,0.00396587886631897,0.0115530160322885,8.22293742895553e-08,0.0663441009318425,0.0940259263186981,0.170839553414461,0.651790134848773,0
"106","Uruguay",0,0,0.00102364441335029,0.00295088000508723,0.00606408289214131,4.95831636401207e-06,0.0293115830174937,0.0564185746216386,0.13405031414343,0.16893213174321,0.601243830847285
"107","Venezuela (Bolivarian Republic of)",0.00072763271837623,0.00293049288195053,0.0130791079335641,0.0168597722488929,0.026207560551163,1.12067415835007e-06,0.0634081991533237,0.0855520901431069,0.162390483431165,0.13971325660521,0.489130283659089
"108","Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Virgin Islands United States",0,0.0204687036487689,0.0379709285078612,0.0513200830614061,0.0266983091070899,0.0332245624443785,0.130228418866805,0.70008899436369,0,0,0
"110","Yemen",0.155490013581976,0.104602960199716,0.178790620111017,0.561116406107291,0,0,0,0,0,0,0
"111","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
